file,dur,action,reason,original,final
ep01_01042.52s,1.09,keep,,チー,チー
ep01_01203.76s,1.07,keep,,チチ!,チチ！
ep02_00166.40s,1.06,repaired,repeat,超火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火,チーン
ep02_00667.42s,2.73,keep,,チーーーーーーチーーーーーン,チーーーーーーチーーーーーン
ep02_00795.92s,1.86,keep,,ちー,ちー
ep02_00961.56s,1.19,repaired,latin,チ элект,ちぃ
ep02_01134.26s,1.61,repaired,latin,チatsächlich,ちー
ep02_01146.29s,3.53,keep,,ちー,ちー
ep02_01189.62s,2.06,keep,,ティ・・・,ティ・・・
ep02_01195.68s,1.90,keep,,ふ六,ふ六
ep02_01246.34s,1.48,keep,,チーン,チーン
ep02_01268.72s,1.60,keep,,ちっ,ちっ
ep02_01273.42s,1.14,keep,,キー,キー
ep02_01284.48s,1.25,keep,,ちぃー,ちぃー
ep03_00195.04s,1.30,keep,,ちーーーーーー,ちーーーーーー
ep03_00201.36s,1.86,keep,,キー,キー
ep03_00204.52s,3.28,keep,,いっ いってらっしゃ,いっ いってらっしゃ
ep03_00210.96s,2.67,keep,,いってらっしゃい,いってらっしゃい
ep03_00218.14s,1.95,keep,,いってらっしゃい,いってらっしゃい
ep03_00230.86s,2.25,keep,,ひでき,ひでき
ep03_00238.56s,2.19,keep,,ひできひでき,ひできひでき
ep03_00241.60s,1.63,keep,,ひがき ひがき,ひがき ひがき
ep03_00277.54s,2.38,keep,,いってらっしゃい,いってらっしゃい
ep03_00292.54s,4.57,keep,,ひでき,ひでき
ep03_00624.26s,2.03,keep,,ひでき,ひでき
ep03_01224.90s,2.08,keep,,いってらっしゃい,いってらっしゃい
ep03_01239.80s,2.93,keep,,おかえりなさい,おかえりなさい
ep03_01244.46s,2.10,keep,,おかえりなさい,おかえりなさい
ep03_01254.14s,1.91,keep,,バイト,バイト
ep03_01268.22s,2.07,keep,,ち、安心?,ち、安心？
ep03_01273.90s,2.12,keep,,うれっ しぃ,うれっ しぃ
ep03_01275.78s,6.31,keep,,うれしいちわからない,うれしいちわからない
ep03_01287.60s,2.58,keep,,うれしい,うれしい
ep03_01325.40s,1.36,keep,,ひでき!,ひでき！
ep04_00185.58s,2.10,keep,,おかえりなさい。,おかえりなさい。
ep04_00195.72s,1.91,keep,,地位覚えた,地位覚えた
ep04_00205.58s,1.65,keep,,あれ,あれ
ep04_00208.58s,1.50,keep,,管理人さんがくれた,管理人さんがくれた
ep04_00319.46s,1.91,keep,,おかず?,おかず？
ep04_00340.34s,3.46,keep,,チー覚えた,チー覚えた
ep04_00396.02s,2.19,keep,,行ってきます,行ってきます
ep04_00407.14s,4.70,keep,,寄り道 知らない人 車,寄り道 知らない人 車
ep04_00416.76s,2.53,keep,,パンツください,パンツください
ep04_00424.18s,1.70,keep,,ちいわかった,ちいわかった
ep04_00425.74s,1.73,keep,,行ってきます,行ってきます
ep04_00562.40s,2.92,keep,,チン,チン
ep04_00601.32s,1.09,keep,,パンツ,パンツ
ep04_00614.72s,1.65,keep,,パンツ買えない,パンツ買えない
ep04_00639.12s,1.28,keep,,パンツください,パンツください
ep04_00647.12s,1.62,keep,,でもパンツ,でもパンツ
ep04_00653.86s,3.91,keep,,パンツ,パンツ
ep04_00690.24s,1.53,keep,,つばんつ,つばんつ
ep04_00726.58s,3.32,keep,,パンチ,パンチ
ep04_00729.86s,2.24,keep,,パンツ,パンツ
ep04_00750.86s,1.06,keep,,チップ,チップ
ep04_00756.86s,4.41,keep,,パンツ違う,パンツ違う
ep04_00760.98s,4.05,keep,,ちっすもも,ちっすもも
ep04_00977.48s,2.09,keep,,パンツ,パンツ
ep04_01064.10s,2.31,keep,,パンツ買える,パンツ買える
ep04_01145.60s,2.17,keep,,ちぃ,ちぃ
ep04_01148.60s,3.09,keep,,パンツない,パンツない
ep04_01159.60s,3.22,keep,,パンツください,パンツください
ep04_01208.84s,1.73,keep,,パンツください,パンツください
ep04_01210.54s,2.39,keep,,ひできが欲しがってるって,ひできが欲しがってるって
ep04_01236.70s,2.34,keep,,ちー,ちー
ep04_01249.22s,1.94,keep,,失礼します,失礼します
ep04_01313.54s,2.80,keep,,変態,変態
ep05_00238.25s,2.90,keep,,キレキおかえり,キレキおかえり
ep05_00242.88s,1.67,keep,,ちーちー,ちーちー
ep05_00259.60s,2.44,keep,,勉強,勉強
ep05_00275.12s,2.56,keep,,勉強大変。,勉強大変。
ep05_00328.04s,2.16,keep,,ちーん,ちーん
ep05_00418.90s,2.10,keep,,チー!チー!,チー！チー！
ep05_00423.90s,0.96,keep,,ちー,ちー
ep05_00426.90s,1.06,keep,,チーン,チーン
ep05_00510.78s,2.11,keep,,チー,チー
ep05_00517.24s,1.75,repaired,latin,キキrals,ちー
ep05_00559.90s,2.18,keep,,ふぅ,ふぅ
ep05_00594.74s,2.24,keep,,プレゼント?,プレゼント？
ep05_00599.34s,1.15,keep,,チーニー,チーニー
ep05_00612.50s,1.93,keep,,ありがとう,ありがとう
ep05_00748.60s,2.12,keep,,チーン,チーン
ep05_00754.36s,3.06,keep,,チー,チー
ep05_00977.62s,4.03,keep,,おー,おー
ep05_01128.98s,2.48,keep,,パイッチョン,パイッチョン
ep05_01132.36s,3.15,keep,,ひでき、バイト,ひでき、バイト
ep05_01139.32s,1.07,keep,,ちっ,ちっ
ep05_01186.20s,1.49,keep,,ひでき、バイト!,ひでき、バイト！
ep05_01210.82s,2.06,keep,,イデキ、ファイト!,イデキ、ファイト！
ep05_01260.92s,2.23,repaired,short,ち,ちぃ
ep05_01269.66s,3.16,repaired,latin,G,ちぃ
ep05_01289.50s,1.97,keep,,ちー楽しみ,ちー楽しみ
ep05_01447.92s,2.82,keep,,シーン、秀樹の頭心配,シーン、秀樹の頭心配
